operation_id,operation_date,operation_type,total_amt_accepted_usd
RP 090126 26,2026-09-01,Reverse Repo,725000000
RP 090226 26,2026-09-02,Reverse Repo,525000000
RP 090326 26,2026-09-03,Reverse Repo,702000000
RP 090426 26,2026-09-04,Reverse Repo,675000000
RP 090826 25,2026-09-08,Reverse Repo,626000000
RP 090926 25,2026-09-09,Reverse Repo,432000000
RP 091026 26,2026-09-10,Reverse Repo,4736000000
RP 091126 26,2026-09-11,Reverse Repo,5255000000
RP 091426 26,2026-09-14,Reverse Repo,1420000000
RP 091526 26,2026-09-15,Reverse Repo,700000000
RP 091626 26,2026-09-16,Reverse Repo,5375000000
RP 091726 26,2026-09-17,Reverse Repo,276000000
RP 091826 26,2026-09-18,Reverse Repo,576000000
