boundary,t_s,kind,gap_a_start,gap_a_end,off_a_start_ms,off_a_end_ms,in_gap_a,pos_in_gap_a,gap_b_start,gap_b_end,off_b_start_ms,in_gap_b,nearest_word_edge_ms,verdict_a,off_b_end_ms,pos_in_gap_b,verdict_b
1,10.600,hard-cut,10.520,10.840,80.0,-240.0,yes,0.250,9.920,10.520,680.0,no,80.0,on-pause,80.0,,audio-leads
2,26.200,blur-zoom,25.600,26.240,600.0,-40.0,yes,0.938,25.600,26.240,600.0,yes,-40.0,on-pause,-40.0,0.938,on-pause
3,32.200,hard-cut,31.080,32.200,1120.0,0.0,yes,1.000,31.080,32.200,1120.0,yes,0.0,on-pause,0.0,1.000,on-pause
4,35.900,dip,35.240,36.200,660.0,-300.0,yes,0.687,35.240,36.200,660.0,yes,-300.0,on-pause,-300.0,0.687,on-pause
5,49.300,dip,48.600,49.640,700.0,-340.0,yes,0.673,48.600,49.640,700.0,yes,-340.0,on-pause,-340.0,0.673,on-pause
6,53.100,hard-cut,52.400,53.040,700.0,60.0,no,,52.400,53.040,700.0,no,-60.0,audio-leads,60.0,,audio-leads
7,56.000,blur-zoom,54.960,56.000,1040.0,0.0,yes,1.000,54.960,56.000,1040.0,yes,0.0,on-pause,0.0,1.000,on-pause
8,70.900,dip,70.040,71.200,860.0,-300.0,yes,0.741,70.040,71.200,860.0,yes,-300.0,on-pause,-300.0,0.741,on-pause
9,82.800,hard-cut,82.720,83.400,80.0,-600.0,yes,0.118,82.720,83.400,80.0,yes,80.0,on-pause,-600.0,0.118,on-pause
10,87.600,dip,87.120,87.880,480.0,-280.0,yes,0.632,87.120,87.880,480.0,yes,-280.0,on-pause,-280.0,0.632,on-pause
11,113.600,blur-zoom,112.800,113.560,800.0,40.0,no,,112.800,113.560,800.0,no,40.0,audio-leads,40.0,,audio-leads
12,122.900,hard-cut,122.000,123.040,900.0,-140.0,yes,0.865,122.000,123.040,900.0,yes,-140.0,on-pause,-140.0,0.865,on-pause
13,124.600,dip,123.960,124.760,640.0,-160.0,yes,0.800,123.960,124.760,640.0,yes,-160.0,on-pause,-160.0,0.800,on-pause
14,137.800,hard-cut,136.800,137.800,1000.0,0.0,yes,1.000,136.800,137.800,1000.0,yes,0.0,on-pause,0.0,1.000,on-pause
15,143.200,dip,142.480,143.400,720.0,-200.0,yes,0.783,142.480,143.400,720.0,yes,-200.0,on-pause,-200.0,0.783,on-pause
16,149.500,hard-cut,148.720,149.400,780.0,100.0,no,,148.720,149.400,780.0,no,100.0,audio-leads,100.0,,audio-leads
17,160.100,dip,159.440,160.240,660.0,-140.0,yes,0.825,159.440,160.240,660.0,yes,-140.0,on-pause,-140.0,0.825,on-pause
18,168.200,blur-zoom,167.160,168.200,1040.0,0.0,yes,1.000,167.160,168.200,1040.0,yes,0.0,on-pause,0.0,1.000,on-pause
19,175.600,hard-cut,174.959,175.440,641.0,160.0,no,,174.959,175.440,641.0,no,-120.0,audio-leads,160.0,,audio-leads
20,191.300,blur-zoom,189.959,191.519,1341.0,-219.0,yes,0.860,189.959,191.519,1341.0,yes,-219.0,on-pause,-219.0,0.860,on-pause
21,203.700,hard-cut,202.560,203.800,1140.0,-100.0,yes,0.919,202.560,203.800,1140.0,yes,-100.0,on-pause,-100.0,0.919,on-pause
