boundary,t_s,kind,gap_a_start,gap_a_end,off_a_start_ms,off_a_end_ms,in_gap_a,pos_in_gap_a,gap_b_start,gap_b_end,off_b_start_ms,in_gap_b,nearest_word_edge_ms,verdict_a,off_b_end_ms,pos_in_gap_b,verdict_b
1,10.600,hard-cut,10.180,10.640,420.0,-40.0,yes,0.913,10.180,10.640,420.0,yes,-40.0,on-pause,-40.0,0.913,on-pause
2,26.200,blur-zoom,25.920,26.260,280.0,-60.0,yes,0.824,24.020,24.720,2180.0,no,-60.0,on-pause,1480.0,,audio-leads
3,32.200,hard-cut,31.680,32.260,520.0,-60.0,yes,0.897,31.680,32.260,520.0,yes,-60.0,on-pause,-60.0,0.897,on-pause
4,35.900,dip,35.740,36.180,160.0,-280.0,yes,0.364,37.100,37.800,-1200.0,no,160.0,on-pause,-1900.0,,picture-leads
5,49.300,dip,48.960,49.640,340.0,-340.0,yes,0.500,48.960,49.640,340.0,yes,340.0,on-pause,-340.0,0.500,on-pause
6,53.100,hard-cut,52.700,53.060,400.0,40.0,no,,55.300,55.940,-2200.0,no,40.0,audio-leads,-2840.0,,picture-leads
7,56.000,blur-zoom,55.300,55.940,700.0,60.0,no,,55.300,55.940,700.0,no,60.0,audio-leads,60.0,,audio-leads
8,70.900,dip,70.360,71.140,540.0,-240.0,yes,0.692,70.360,71.140,540.0,yes,-240.0,on-pause,-240.0,0.692,on-pause
9,82.800,hard-cut,82.360,82.980,440.0,-180.0,yes,0.710,82.360,82.980,440.0,yes,-180.0,on-pause,-180.0,0.710,on-pause
10,87.600,dip,87.420,87.880,180.0,-280.0,yes,0.391,87.420,87.880,180.0,yes,180.0,on-pause,-280.0,0.391,on-pause
11,113.600,blur-zoom,113.240,113.680,360.0,-80.0,yes,0.818,111.800,112.420,1800.0,no,-80.0,on-pause,1180.0,,audio-leads
12,122.900,hard-cut,122.400,123.000,500.0,-100.0,yes,0.833,122.400,123.000,500.0,yes,-100.0,on-pause,-100.0,0.833,on-pause
13,124.600,dip,124.300,124.740,300.0,-140.0,yes,0.682,122.400,123.000,2200.0,no,-140.0,on-pause,1600.0,,audio-leads
14,137.800,hard-cut,137.100,137.660,700.0,140.0,no,,137.100,137.660,700.0,no,-120.0,audio-leads,140.0,,audio-leads
