boundary,t_s,kind,duration_frames,world,first_motion,evidence,seen,at_gap,gap_s
1,10.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
2,26.2,zoom-through,8,changes,camera push,"docs/research/runs/wealth-logic-cuts/frames/2/t_minus.jpg, docs/research/runs/wealth-logic-cuts/frames/2/t_blur.jpg, docs/research/runs/wealth-logic-cuts/frames/2/t_plus.jpg","blur peaks at t+0.07, sharp again at t+0.2",yes,0.34
3,32.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.58
4,35.9,dissolve,10,changes,nothing,"docs/research/runs/wealth-logic-cuts/frames/4/t_minus.jpg, docs/research/runs/wealth-logic-cuts/frames/4/t_dark.jpg, docs/research/runs/wealth-logic-cuts/frames/4/t_plus.jpg",luminance drops to near black over 4 frames then the whiteboard scene,yes,0.44
5,49.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.68
6,53.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.36
7,56.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
8,70.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.78
9,82.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
10,87.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
11,113.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.44
12,122.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.6
13,124.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.44
14,137.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
15,143.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.44
16,149.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.48
