boundary,t_s,kind,duration_frames,first_motion_frames,motion_after_0_5s,D_peak,D_median,L_before,L_min,L_after,S_before,S_min,at_gap,gap_s
1,10.6,hard-cut,1,7,2.268,40.316,0.023,215.15,227.46,211.38,7896.9,6605.3,yes,0.46
2,26.2,blur-zoom,8,0,1.473,133.084,4.403,218.85,89.01,115.82,9090.2,233.5,yes,0.34
3,32.2,hard-cut,1,7,1.137,30.32,0.018,217.24,232.24,227.11,5967.5,6159.6,yes,0.58
4,35.9,dip,14,0,18.151,33.942,0.018,226.82,0.83,232.96,7608.7,146.2,yes,0.44
5,49.3,dip,14,0,49.282,33.365,0.011,225.31,0.38,220.45,10580.3,115.2,yes,0.68
6,53.1,hard-cut,1,0,1.086,26.901,3.393,220.52,231.09,232.72,8013.8,3829.7,yes,0.36
7,56.0,blur-zoom,8,1,1.751,42.193,0.008,225.16,221.32,221.26,7235.0,524.1,no,0.0
8,70.9,dip,14,0,43.94,33.292,0.016,226.81,0.0,217.27,6870.5,0.0,yes,0.78
9,82.8,hard-cut,1,7,1.195,39.489,1.13,218.89,224.75,217.31,11433.0,8395.4,yes,0.62
10,87.6,dip,14,0,18.79,33.107,0.012,209.77,0.0,224.81,11088.3,0.0,yes,0.46
11,113.6,blur-zoom,9,7,2.568,58.155,0.035,199.35,199.35,217.74,8320.5,948.8,yes,0.44
12,122.9,hard-cut,1,0,0.642,39.351,0.012,211.11,222.27,234.79,11857.7,5929.6,yes,0.6
13,124.6,dip,14,0,49.835,34.987,0.016,235.33,0.0,218.56,5806.5,0.0,yes,0.44
14,137.8,hard-cut,1,7,2.319,35.822,0.018,209.34,223.56,209.27,11786.7,3530.4,no,0.0
15,143.2,dip,14,0,17.403,30.99,0.014,208.95,0.48,118.48,4463.4,97.3,yes,0.44
16,149.5,hard-cut,1,1,0.182,38.955,0.01,224.86,214.79,214.58,6657.4,6482.1,yes,0.48
17,160.1,dip,14,0,50.232,33.806,0.029,227.73,0.62,225.26,7447.9,147.3,yes,0.48
18,168.2,blur-zoom,8,0,1.108,86.1,0.013,166.23,166.4,202.88,4570.7,370.3,yes,0.62
19,175.6,hard-cut,1,7,2.543,41.357,0.02,229.04,204.91,190.73,6022.2,6046.4,no,0.0
20,191.3,blur-zoom,8,0,1.3,65.309,0.007,172.23,172.97,210.52,7920.7,252.9,no,0.0
21,203.7,hard-cut,1,7,1.875,38.808,0.015,202.52,218.54,208.17,4425.4,4718.1,yes,0.82
22,208.7,dip,14,0,47.524,30.958,0.005,208.4,0.6,216.41,5517.1,125.4,yes,0.7
23,231.1,dip,14,0,18.799,35.373,0.015,235.04,0.0,241.74,3568.4,0.0,yes,0.66
24,240.4,blur-zoom,8,2,1.17,59.307,0.02,212.71,212.82,219.56,5545.3,303.0,yes,0.46
25,248.7,hard-cut,1,7,1.93,43.062,0.015,214.13,224.05,210.51,3815.3,4265.4,yes,0.96
26,262.5,blur-zoom,8,0,1.038,26.033,0.015,235.14,224.62,224.62,2175.1,306.0,yes,0.36
27,274.1,hard-cut,1,0,0.135,57.719,0.007,206.37,206.86,219.14,8666.6,5553.8,yes,0.64
28,283.9,dip,14,0,4.02,29.167,2.52,197.5,0.36,154.83,8376.3,91.4,no,0.0
29,291.7,blur-zoom,8,1,1.975,76.758,0.016,168.08,168.2,194.23,4149.8,445.8,yes,0.36
30,297.8,hard-cut,1,7,0.865,36.072,0.012,189.37,222.91,231.04,6356.9,6208.9,yes,0.38
31,304.1,dip,14,0,25.655,34.089,0.01,230.25,0.0,188.83,6734.8,0.0,yes,0.88
32,316.7,hard-cut,1,7,2.53,27.762,0.011,219.53,218.35,203.15,2696.3,2967.8,no,0.0
33,320.1,dip,14,0,16.455,31.076,0.025,203.1,0.78,212.57,5013.7,95.6,yes,0.46
34,324.6,blur-zoom,7,1,1.632,64.905,0.013,212.63,196.09,195.99,13960.2,494.7,no,0.0
35,341.9,dip,14,0,40.655,32.613,0.012,220.88,0.0,165.1,11684.9,0.0,yes,0.6
36,352.8,blur-zoom,6,1,0.756,51.331,0.015,215.48,216.3,225.59,18271.2,203.4,yes,0.38
37,360.1,hard-cut,1,7,2.084,44.331,0.855,175.73,206.09,195.59,5594.2,7005.1,no,0.0
38,374.8,blur-zoom,7,2,2.469,47.775,0.015,234.54,211.05,210.95,2645.5,430.1,yes,1.04
39,384.9,hard-cut,1,7,1.937,27.827,0.012,217.77,230.79,215.87,4798.2,3854.5,no,0.0
40,391.4,dip,14,0,18.591,32.384,0.018,215.97,0.0,220.9,3834.0,0.0,yes,0.86
41,412.7,hard-cut,1,8,1.242,30.526,0.011,237.16,229.0,219.88,3701.2,2910.8,yes,0.66
42,417.4,dip,14,0,45.015,32.612,0.046,219.95,0.51,195.31,10020.5,115.3,yes,0.46
43,428.6,blur-zoom,8,1,1.402,48.465,0.012,217.42,216.51,216.48,7589.8,397.2,no,0.0
44,447.4,dip,14,0,47.169,33.108,0.01,222.42,0.42,207.26,7704.4,86.1,yes,0.34
45,454.3,hard-cut,1,7,2.736,42.868,0.01,207.13,216.87,199.98,4487.9,5053.2,yes,0.46
46,458.2,blur-zoom,8,1,1.932,47.935,0.319,200.62,200.82,219.64,5418.0,367.3,yes,1.12
47,473.9,dip,14,0,46.51,31.835,0.024,214.86,0.59,207.03,11505.1,126.6,yes,0.42
48,482.8,blur-zoom,7,1,2.02,54.262,0.012,232.05,198.85,199.11,3041.8,566.7,yes,0.52
49,490.4,hard-cut,1,7,1.75,30.308,0.006,212.83,226.45,217.98,2847.0,2973.3,no,0.2
50,503.2,blur-zoom,8,1,1.74,50.761,0.015,215.53,215.54,219.93,12150.9,469.2,no,0.0
51,511.0,hard-cut,1,7,0.792,37.727,0.018,217.63,226.1,231.72,8525.9,7073.5,no,0.0
52,513.4,dip,14,0,52.319,34.613,0.008,231.99,0.54,236.8,6910.1,101.6,yes,0.68
53,530.4,dip,14,0,49.544,35.079,0.031,235.46,0.0,216.08,3108.4,0.0,yes,0.94
54,547.0,hard-cut,1,7,3.356,46.132,0.009,224.62,199.67,178.88,2416.0,2489.3,yes,0.86
55,553.9,dip,14,0,16.825,31.531,0.007,179.05,0.0,216.86,6637.2,0.0,yes,0.5
